,comments,CleanedText
793,"The media could not be loaded.
                



 It been approx 8 to 9 months since I purchased this beauty bags and I not found any kind of defects in daily uses except the base material used in this bag is not good quality and one more thing is bag's side pocket or bottle handle's elastic is not that great.Thank you","The media could not be loaded.
                



 It been approx 8 to 9 months since I purchased this beauty bags and I not found any kind of defects in daily uses except the base material used in this bag is not good quality and one more thing is bag's side pocket or bottle handle's elastic is not that great. Thank you"
794,Don't expect it as a quality product.  It's an average product,Don't expect it as a quality product.  It's an average product
795,"Good quality and durable, worth buying it","Good quality and durable, worth buying it"
796,Using this bag last 7 month best quality and nice product,Using this bag last 7 month best quality and nice product
797,Good product,Good product
798,"Writing tjis review after using this product for some weeksFirst i have to say one thing that this is absolute worth for moneyIts water resistant and they are also  providing a rain coat with itIt's user friendly bcz its light weiaght and have enough space for keeping the things inIt's perfect for school, office, and travel purposesMy younger brother is also using this productIt's absolutely perfect for any purposes and for all age group","Writing tjis review after using this product for some weeksFirst i have to say one thing that this is absolute worth for moneyIts water resistant and they are also  providing a rain coat with itIt's user friendly bcz its light weiaght and have enough space for keeping the things inIt's perfect for school, office, and travel purposesMy younger brother is also using this productIt's absolutely perfect for any purposes and for all age group"
799,The only thing I was somewhat disappointed is with the colour on the front it doesn't look like what we see in pic it's somewhat  different,The only thing I was somewhat disappointed is with the colour on the front it doesn't look like what we see in pic it's somewhat  different
800,"The media could not be loaded.
                



 Not of good quality Has scratches at many places","The media could not be loaded.
                



 Not of good quality Has scratches at many places"
801,product is as described...... delivary and packaging no issue.......no words to complain....i bought it at 1100 urgently which is overpriced.... you can buy this bag at rupees 799 or 849 !!!take my advice and wait for sale😀😀,product is as described. delivary and packaging no issue. no words to complain. i bought it at 1100 urgently which is overpriced. you can buy this bag at rupees 799 or 849 . take my advice and wait for sale😀😀
802,"Average , I expected a compartment for laptop but i did not find it in this bag","Average , I expected a compartment for laptop but i did not find it in this bag"
803,Just ഫീൽ like copy of the product.Not american touristor standared.,Just ഫീൽ like copy of the product. Not american touristor standared.
804,Great Product,Great Product
805,This product is good. But it does have many flaws. First of all the Sticthing is not upto the mark. Secondly it doesn't have a laptop carrying space( it is mentioned in the specs also). Thirdly the material which is used is not that good especially the interior spaces.The good part is it is very much light weighed. Abundance of space for a bag of this size. For 850₹ this bag is ok. First look is stylish.,This product is good. But it does have many flaws. First of all the Sticthing is not upto the mark. Secondly it doesn't have a laptop carrying space( it is mentioned in the specs also). Thirdly the material which is used is not that good especially the interior spaces. The good part is it is very much light weighed. Abundance of space for a bag of this size. For 850₹ this bag is ok. First look is stylish.
